postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
3540,Lynge,Lynge Bibliotek,Allerød Biblioteker,Hillerødvej 48 C,55.8393163,Folkebibliotek,720101,12.2775605,Lynge Bibliotek
3480,Fredensborg,Fredensborg Bibliotek,Fredensborg Bibliotekerne,Jernbanegade 3,55.9789981,Folkebibliotek,721000,12.3989543,Fredensborg Bibliotek
2990,Nivå,Nivå Bibliotek,Fredensborg Bibliotekerne,Nivå Center 30,55.934494,Folkebibliotek,721001,12.50394,Nivå Bibliotek
3050,Humlebæk,Humlebæk Bibliotek,Fredensborg Bibliotekerne,Humlebæk Center 40,55.964269,Folkebibliotek,721002,12.5293647,Humlebæk Bibliotek
2980,Kokkedal,Kokkedal Cafébibliotek,Fredensborg Bibliotekerne,Holmegaardsvej 101-102,55.909695,Folkebibliotek,721003,12.489103,Kokkedal Cafébibliotek
3000,Helsingør,Helsingør Bibliotek,Helsingør Kommunes Biblioteker,Allegade 2,56.0377711,Folkebibliotek,721700,12.6141173,Biblioteket Kulturværftet
3060,Espergærde,Espergærde Bibliotek,Helsingør Kommunes Biblioteker,Kløvermarken 12,55.9951101,Folkebibliotek,721701,12.5467761,Espergærde Bibliotek
3000,Helsingør,Abildvængets Bibliotek,Helsingør Kommunes Biblioteker,Abildgårdsvej 2,56.030787,Folkebibliotek,721702,12.592127,Abildvængets Bibliotek
3100,Hornbæk,Hornbæk Bibliotek,Helsingør Kommunes Biblioteker,Vestre Stejlebakke 2 A,56.0905393,Folkebibliotek,721703,12.4557533,Hornbæk Bibliotek
3000,Helsingør,Vapnagård Bibliotek,Helsingør Kommunes Biblioteker,Hovmarken 7,56.021911,Folkebibliotek,721704,12.581346,Vapnagård Bibliotek
3140,Ålsgårde,Aktivitetshuset Bølgen,Helsingør Kommunes Biblioteker,Jämtlandsvej 1,56.076667,Folkebibliotek,721707,12.536944,Bølgens Biblioteksservice
